11	47401	稚内
11	0002	沓形
11	0003	浜頓別
11	47402	北見枝幸
11	0005	歌登
11	1051	中頓別
11	1054	豊富
11	1203	沼川
11	1207	船泊
11	1284	宗谷岬
11	1285	浜鬼志別
11	1512	本泊
11	1528	声問
11	1546	礼文
11	1593	幌泊
11	1573	幌延
11	1656	礼文上泊埼
12	0006	美深
12	0007	ピヤシリ山
12	0008	名寄
12	0009	西風連
12	0010	下川
12	0011	士別
12	0012	犬牛別峠
12	0013	雄鷹峰
12	0014	蓬莱山
12	0015	上川
12	47407	旭川
12	0017	瑞穂
12	0018	終沢
12	0019	旭岳
12	0020	白金
12	0021	富良野
12	0022	前富良野岳
12	0023	前時雨山
12	1047	朝日
12	1048	比布
12	1049	層雲峡
12	1052	美瑛
12	1055	和寒
12	1184	東川
12	1185	志比内
12	1188	幾寅
12	1189	占冠
12	1190	上富良野
12	1191	江丹別
12	1197	音威子府
12	1201	中川
12	1280	麓郷
12	1458	東神楽
12	1570	小車
12	1572	剣淵
12	1574	金山
12	1053	幌加内
12	1279	朱鞠内
13	0024	天塩
13	0025	遠別
13	47404	羽幌
13	47406	留萌
13	0028	増毛
13	1112	古丹別
13	1213	焼尻
13	1216	初山別
13	1217	達布
13	1218	幌糠
14	0029	阿曽岩
14	0030	新篠津
14	0031	山口
14	0032	手稲山
14	47412	札幌
14	0034	小金湯
14	0035	恵庭島松
14	0036	島松山
14	0037	支笏湖畔
14	1076	西野幌
14	1085	石狩
14	1193	浜益
14	1194	厚田
14	1459	千歳
14	1507	江別
15	0038	石狩沼田
15	0039	深川
15	0040	常盤山
15	0041	滝川
15	0042	神威岳
15	0043	芦別
15	0044	美唄
15	47413	岩見沢
15	0046	下桂沢
15	0047	長沼
15	0048	丁未山
15	0049	夕張
15	0050	登川山
15	0999	月形
15	1068	栗沢
15	1270	晩生内
15	1271	桜山
15	1287	空知吉野
15	1400	浦臼
15	1401	鹿島
15	1402	沼の沢
15	1419	新城
15	1566	赤平
15	1567	雨竜
16	0051	美国
16	0052	余市
16	47411	小樽
16	0054	共和
16	0055	蘭越
16	47433	倶知安
16	0057	脇方台地
16	47421	寿都
16	0059	桂台
16	0060	喜茂別
16	0061	黒松内
16	1072	真狩
16	1091	赤井川
16	1208	神恵内
16	1615	ニセコ
