日時,時,気圧(hPa)現地,気圧(hPa)海面,風向・風速(m/s)風速,風向・風速(m/s)風向,雪(cm)降雪,雪(cm)積雪,天気,雲量
2015-08-14 01:00:00,1,882.8,,×,17.7,17.4,19.8,98,3.4,西南西,,,×,×,×,,×
2015-08-14 02:00:00,2,882.6,,0.5,17.5,17.5,20.0,100,4.8,南西,,,×,×,×,,×
2015-08-14 03:00:00,3,882.7,,×,17.2,17.1,19.4,99,3.2,南西,,,×,×,×,,×
2015-08-14 04:00:00,4,882.6,,×,16.8,16.7,18.9,99,3.4,南南西,,,×,×,×,,×
2015-08-14 05:00:00,5,882.6,,×,16.6,16.0,18.1,96,2.8,南南西,,,×,×,×,,×
2015-08-14 06:00:00,6,882.5,,×,16.6,16.0,18.1,96,1.8,西北西,0.0,,×,×,×,,×
2015-08-14 07:00:00,7,882.9,,×,16.9,16.4,18.7,97,0.8,南西,0.0,,×,×,×,,×
2015-08-14 08:00:00,8,883.4,,×,17.4,15.4,17.5,88,2.1,西,0.0,,×,×,×,,×
2015-08-14 09:00:00,9,883.9,,×,17.6,16.5,18.7,93,4.1,西南西,0.1,,×,×,×,,×
2015-08-14 10:00:00,10,884.2,,×,18.4,17.1,19.5,92,3.9,西南西,0.1,,×,×,×,,×
2015-08-14 11:00:00,11,883.8,,×,18.6,17.3,19.7,92,4.4,西南西,0.0,,×,×,×,,×
2015-08-14 12:00:00,12,883.2,,×,22.1,17.7,20.2,76,2.7,西北西,0.4,,×,×,×,,×
2015-08-14 13:00:00,13,883.0,,×,20.5,17.5,20.0,83,2.9,西,0.4,,×,×,×,,×
2015-08-14 14:00:00,14,883.3,,×,22.6,18.4,21.1,77,3.1,西,0.4,,×,×,×,,×
2015-08-14 15:00:00,15,883.4,,×,22.5,15.8,18.0,66,3.5,西,0.9,,×,×,×,,×
2015-08-14 16:00:00,16,883.4,,×,21.0,18.0,20.6,83,3.4,西,0.2,,×,×,×,,×
2015-08-14 17:00:00,17,883.3,,×,20.2,17.4,19.9,84,4.5,西南西,0.2,,×,×,×,,×
2015-08-14 18:00:00,18,882.9,,×,19.8,17.9,20.6,89,4.5,西,0.6,,×,×,×,,×
2015-08-14 19:00:00,19,883.0,,×,18.5,17.5,20.0,94,2.4,西,0.1,,×,×,×,,×
2015-08-14 20:00:00,20,883.5,,×,17.7,17.4,19.8,98,1.2,西,0.0,,×,×,×,,×
2015-08-14 21:00:00,21,883.8,,×,17.1,17.0,19.3,99,1.8,北北西,,,×,×,×,,×
2015-08-14 22:00:00,22,884.1,,×,18.2,17.1,19.4,93,1.1,南,,,×,×,×,,×
2015-08-14 23:00:00,23,884.3,,×,16.7,16.4,18.6,98,0.9,北北東,,,×,×,×,,×
2015-08-15 00:00:00,24,884.4,,×,17.8,16.3,18.5,91,2.2,南南東,,,×,×,×,,×
